source,target,length
41583578,2974049890,41
42698945,2974049890,40
41493635,2974049890,40
42018200,2974049890,40
41707103,2974049890,40
41702801,2974049890,40
42018069,2974049890,39
41702786,2974049890,39
42018073,2974049890,39
41702799,2974049890,39
41707108,2974049890,39
41493632,2974049890,39
41498726,2974049890,38
316912049,2974049890,38
41906681,2974049890,38
41906693,2974049890,38
42018062,2974049890,38
41498680,2974049890,37
41575363,2974049890,37
2291377430,2974049890,37
8912567835,2974049890,37
41906674,2974049890,37
8912567831,2974049890,36
41707095,2974049890,36
8912567816,2974049890,36
41498682,2974049890,36
41583581,2974049890,36
8912567821,2974049890,35
41498685,2974049890,35
41707097,2974049890,35
5757821172,2974049890,35
41583582,2974049890,35
5757821173,2974049890,34
41583584,2974049890,34
41702819,2974049890,34
8912567791,2974049890,34
8912567781,2974049890,33
41498688,2974049890,33
8912567787,2974049890,33
41498691,2974049890,32
6065736551,2974049890,32
8912567788,2974049890,32
41498694,2974049890,32
41846691,2974049890,31
41567912,2974049890,31
8912567724,2974049890,31
41702782,2974049890,30
8912567725,2974049890,30
310433011,41573941,29
41575371,2974049890,29
335748066,2974049890,28
310433396,41573941,28
41612120,41573941,27
42236500,8703186571,27
41765845,41573941,27
41841117,5078563599,27
41619146,5078563599,27
41619142,5078563599,27
42558020,5078563599,27
8912567798,2974049890,27
8912567793,2974049890,27
41190577,8703186571,27
41730210,41573985,27
41350988,41573941,27
41730206,41573985,27
42333303,8703186571,26
3981103763,5078563599,26
310433718,41573941,26
41816659,5078563599,26
42445801,41573941,26
5967907372,41573941,26
42489205,41573941,26
1019377799,2974049890,26
41724420,5078563599,26
7276025848,41573941,26
41564008,41573941,26
7276025849,41573941,26
41564013,41573941,26
41190578,8703186571,26
41706824,8703186571,26
41847679,5078563599,26
41579987,41573941,26
41216716,41573941,26
41724417,5078563599,26
41619140,5078563599,26
41978165,5078563599,26
41730207,41573985,26
8912567806,2974049890,26
378486276,5078563599,26
41619144,5078563599,26
41755634,41573941,25
41564007,41573941,25
310437896,41573941,25
42516850,5078563599,25
41619138,5078563599,25
41216719,41573941,25
4049340932,41573941,25
41190580,8703186571,25
41632184,5078563599,25
41632192,5078563599,25
3981103764,5078563599,25
7276025850,41573941,25
42019786,8703186571,25
41190794,41573985,25
41579985,41573941,25
1019377800,2974049890,25
41574736,41573941,25
41978132,5078563599,25
42537620,5078563599,25
41846989,41573941,25
41528357,41573941,25
42488234,5078563599,25
42491461,5078563599,25
42507744,41573941,25
41724415,5078563599,25
42236487,8703186571,25
41724412,5078563599,25
42405002,5078563599,25
41606500,5078563599,25
41724413,5078563599,24
42516847,5078563599,24
41498710,41573941,24
41755656,41573941,24
41553026,41573941,24
41841130,5078563599,24
41719545,5078563599,24
3981109068,5078563599,24
41816631,5078563599,24
41978123,5078563599,24
6174369187,41573941,24
41556271,41573941,24
42006078,8703186571,24
41606501,5078563599,24
41816621,5078563599,24
2290382290,41573941,24
41190797,41573985,24
41755646,41573941,24
41606489,41573985,24
42438917,8703186571,24
42488207,5078563599,24
41719548,5078563599,24
3981109129,41573985,24
41632190,5078563599,24
4049340931,41573941,24
41695377,5078563599,24
41574734,41573941,24
4347918224,2974049890,24
41724410,5078563599,24
41590428,2714317928,24
41724494,5078563599,24
41579984,41573941,24
256192166,41573941,24
42488228,5078563599,23
41719324,5078563599,23
2454749989,2974049890,23
7048117464,41573941,23
42417694,330683940,23
2290382317,41573941,23
41907762,2974049890,23
41812252,330683940,23
3983475457,41573941,23
41719544,5078563599,23
41668158,5078563599,23
42305899,41573941,23
42558063,5078563599,23
41579982,41573941,23
42265954,41573941,23
42408005,41573985,23
42019883,330683940,23
41794886,5078563599,23
41633389,2974049890,23
42398934,41573941,23
41483964,41573941,23
41632188,5078563599,23
320061891,41501559,23
41592048,41573985,23
41812251,330683940,23
41611270,330683940,23
41498703,41573941,23
41498704,41573941,23
41498707,41573941,23
41498712,41573941,23
41812330,5078563599,23
41812248,330683940,23
41590430,2714317928,23
41498717,41573941,23
41724492,5078563599,23
41724407,5078563599,23
42438884,8703186571,23
41695375,5078563599,23
41695380,5078563599,23
41606488,41573985,23
316067093,8703186571,23
41502164,41501559,23
41978118,5078563599,23
41683519,41573985,23
41190801,41573985,23
41590426,2714317928,23
8912500766,41573941,23
8912500770,41573941,23
41816646,5078563599,23
3981109069,5078563599,23
42419945,5078563599,22
256520744,41501559,22
41493587,41573941,22
42491447,41573985,22
42333312,8703186571,22
42407837,41501559,22
41794888,5078563599,22
42404030,2974049890,22
41693619,41573941,22
41611258,330683940,22
2454749990,2974049890,22
41884217,2714317928,22
41965211,330683940,22
41621094,330683940,22
41759052,41573941,22
41871398,2714317928,22
2454749988,2974049890,22
41691013,41573941,22
2503126535,41573941,22
42240014,41573941,22
41719321,5078563599,22
41611260,330683940,22
41553022,41573941,22
42325452,2714317928,22
