GEOID10,geoid_s,demand
040131138011,S040131138011,44497.4
040131152001,S040131152001,14276.5
040131152003,S040131152003,266607.0
040131162022,S040131162022,20420.9
040131162041,S040131162041,110842.0
040131162043,S040131162043,355584.0
040131167083,S040131167083,838225.0
040131167091,S040131167091,160560.0
040131167092,S040131167092,597829.0
040133184001,S040133184001,11981900.0
040133184002,S040133184002,74177100.0
040133184003,S040133184003,20342700.0
040133185011,S040133185011,8440940.0
040133185012,S040133185012,4402940.0
040133185013,S040133185013,10609900.0
040133187001,S040133187001,13112200.0
040133187002,S040133187002,13351100.0
040133188001,S040133188001,6731000.0
040133188002,S040133188002,7107800.0
040133188003,S040133188003,6877240.0
040133188004,S040133188004,23880700.0
040133189001,S040133189001,14198100.0
040133189002,S040133189002,11082200.0
040133189003,S040133189003,13860300.0
040133189004,S040133189004,12644900.0
040133190001,S040133190001,14074800.0
040133190002,S040133190002,13287700.0
040133190003,S040133190003,6334230.0
040133190004,S040133190004,11266100.0
040133191011,S040133191011,5167440.0
040133191012,S040133191012,2585320.0
040133191031,S040133191031,6982250.0
040133191032,S040133191032,5780360.0
040133191033,S040133191033,7247720.0
040133191041,S040133191041,6634580.0
040133191042,S040133191042,9347430.0
040133191043,S040133191043,6816200.0
040133191044,S040133191044,3468170.0
040133192011,S040133192011,7526260.0
040133192012,S040133192012,7617820.0
040133192013,S040133192013,5864540.0
040133192014,S040133192014,5845790.0
040133192021,S040133192021,10877800.0
040133192022,S040133192022,9668140.0
040133193001,S040133193001,22208300.0
040133194011,S040133194011,2448560.0
040133194012,S040133194012,12858800.0
040133194013,S040133194013,9730650.0
040133194014,S040133194014,12604900.0
040133194015,S040133194015,5899110.0
040133194021,S040133194021,25263600.0
040133194022,S040133194022,21020000.0
040133194031,S040133194031,7417180.0
040133194032,S040133194032,20102200.0
040133194033,S040133194033,10325700.0
040133194034,S040133194034,11148000.0
040133194041,S040133194041,18103800.0
040133194042,S040133194042,18858400.0
040133195001,S040133195001,13627800.0
040133195002,S040133195002,10303500.0
040133195003,S040133195003,4618300.0
040133195004,S040133195004,15660500.0
040133196001,S040133196001,13307900.0
040133196002,S040133196002,12355200.0
040133196003,S040133196003,11104600.0
040133196004,S040133196004,13169300.0
040133197031,S040133197031,24222800.0
040133197032,S040133197032,4405640.0
040133197033,S040133197033,14177700.0
040133197041,S040133197041,86998700.0
040133197051,S040133197051,30425200.0
040133197052,S040133197052,7801260.0
040133197053,S040133197053,5594510.0
040133197061,S040133197061,8726480.0
040133197062,S040133197062,5537450.0
040133197063,S040133197063,13473200.0
040133198001,S040133198001,6360640.0
040133198002,S040133198002,4084950.0
040133198003,S040133198003,5474080.0
040133198004,S040133198004,6061120.0
040133198005,S040133198005,10153000.0
040133198006,S040133198006,11705900.0
040133199021,S040133199021,10735000.0
040133199022,S040133199022,27734300.0
040133199031,S040133199031,11821300.0
040133199032,S040133199032,12521400.0
040133199033,S040133199033,11750600.0
040133199034,S040133199034,11069100.0
040133199041,S040133199041,19353500.0
040133199042,S040133199042,11699500.0
040133199043,S040133199043,14778000.0
040133199051,S040133199051,12385900.0
040133199052,S040133199052,11185300.0
040133199053,S040133199053,13715800.0
040133199054,S040133199054,15196300.0
040133199061,S040133199061,24064200.0
040133199062,S040133199062,22043400.0
040133199071,S040133199071,13828600.0
040133199072,S040133199072,40572700.0
040133199081,S040133199081,43445300.0
040133199091,S040133199091,46336200.0
040133199101,S040133199101,71923400.0
040133199102,S040133199102,28570800.0
040133200011,S040133200011,13933200.0
040133200012,S040133200012,12739400.0
040133200013,S040133200013,14047000.0
040133200014,S040133200014,8311820.0
040133200021,S040133200021,169438.0
040133200071,S040133200071,9665300.0
040133200072,S040133200072,7736500.0
040133200073,S040133200073,10018900.0
040133200074,S040133200074,16303300.0
040133201001,S040133201001,65282100.0
040133201002,S040133201002,8710830.0
040134212011,S040134212011,2903090.0
040134222051,S040134222051,88145.9
040134222123,S040134222123,979552.0
040134222132,S040134222132,227033.0
040138100001,S040138100001,41794600.0
040138101001,S040138101001,30119600.0
040138101002,S040138101002,19466000.0
040138101003,S040138101003,30894800.0
040138101004,S040138101004,27289900.0
040138104001,S040138104001,323572.0
040138104002,S040138104002,114810.0
040138106001,S040138106001,994847.0
